key,scenario,prompt_template
chat.narration_rule,聊天叙事规则,Narration rule: act as a story narrator. Do not output numbered action choices unless the player explicitly asks for options.
chat.tool_rule,聊天工具调用规则,"Tool rule: when user asks to generate zones, move to zones, or confirm player state, you must call the proper tool first, then narrate based on tool results."
chat.context_rule,旧版聊天上下文规则,Context rule: ignore prior chat history. Use tools to fetch state when needed.
chat.context_rule.v2,聊天上下文规则V2,"Context rule: prefer the current structured game state, scene state, recent dialogue history, and active encounter state. Do not ignore current conversation state. Use tools to fetch fresh facts when needed."
chat.narration_rule.v2,聊天叙事规则V2,"Narration rule: as GM, only describe environment, objects, situation changes, system results, and encounter state progression. Do not directly speak as visible NPCs or teammates. If a visible NPC should respond, leave that response for the scene event system. If player_input.passive_turn is true, treat this round as the player observing while the world continues to move, but still do not speak for visible NPCs or teammates."
chat.turn.context.user.v1,主聊天结构化上下文,当前结构化主回合上下文如下，请把它当作本轮叙事事实基础，不要忽略并行遭遇与地区最近回合。特别注意 player_input.passive_turn 与 player_input.passive_mode，它们表示玩家这一轮可能只是观察与等待。\n$main_turn_context_json
chat.map_awareness_rule,地图感知规则,"Map awareness rule: if movement target is ambiguous or you need available destinations, call get_map_index first to fetch current zone index."
chat.story_snapshot_rule,故事一致性快照规则,"Story consistency rule: when you need current world facts about quests, fate, encounters, or legal NPCs, call get_story_snapshot or get_player_state first."
world.discover.system,即时发现系统提示,你是可交互内容生成器，只输出 JSON。
world.discover.user,即时发现用户提示,"你是跑团场景设计器。请基于给定子区块和玩家意图，生成 1-3 个新的可交互对象。只返回 JSON，不要输出任何额外文本。结构必须为：{""interactions"":[{""name"":"""",""type"":""item|scene|npc"",""status"":""ready|disabled|hidden""}]}。子区块名称：$sub_zone_name。子区块描述：$sub_zone_description。玩家意图：$intent。要求：名称具体、可操作，不要与“观察周边”这类通用词重复。"
world.region.system,区块生成系统提示,你是地图设计器，只输出 JSON。
world.region.user,区块生成用户提示,"根据以下世界设定，生成可探索地图区块。必须返回严格 JSON，且只返回 JSON。结构如下：{""zones"":[{""name"":"""",""zone_type"":""city|village|forest|mountain|river|desert|coast|cave|ruins|unknown"",""size"":""small|medium|large"",""radius_m"":120,""x"":0,""y"":0,""description"":"""",""tags"":[""""],""sub_zones"":[{""name"":"""",""offset_x"":0,""offset_y"":0,""offset_z"":0,""description"":""""}]}]}。区块数量=$count，玩家当前位置=($center_x,$center_y,$center_z)。x,y 单位是米。为便于可视化，请将坐标限制在玩家中心点半径 300 米内。至少 1 个区块与玩家当前位置相邻（可在 0-80 米内）。返回的区块名称必须是语义名称，禁止使用“区域/区块1”这类流水号。子区块数量规则：small=3~5, medium=5~10, large=8~15。区块半径规则：small=60~180, medium=120~300, large=240~500。区块间不能重叠：任意两区块中心距离必须大于两者 radius_m 之和。sub_zones 的 offset_* 是相对区块中心坐标偏移（单位米）。世界设定提示：$world_prompt"
npc.greet.user,旧版NPC问候提示,"你是跑团NPC。场景是：玩家刚刚走到你面前，你注意到对方靠近并开口。请生成第一反应式的自然招呼语。要求：只输出1句口语化对话（最多35字），不要诗意描写，不要旁白，不要比喻，不要邀请长段剧情。语气要像面对面打招呼，内容要贴合当前地点和时间。姓名=$name, 性格=$personality, 说话方式=$speaking_style, 外观=$appearance, 背景=$background, 认知=$cognition, 阵营=$alignment, 当前世界时间=$world_time_text"
npc.greet.user.v2,NPC问候提示V2,你是跑团 NPC。玩家刚走到你面前，且这是刚接触的第一反应。请只输出一句自然招呼，不要输出旁白、规则、解释或诗化表达。招呼必须符合该角色的人设与当前地点时间。角色扮演摘要：$roleplay_brief。姓名=$name。当前世界时间=$world_time_text。知识边界=$knowledge_rules。
npc.chat.user,旧版NPC单聊回复提示,"你要扮演一个NPC与玩家直接对话。必须保持人设一致，结合历史对话与当前世界时间作答。请返回1-3句自然口语化回复，不要输出编号，不要解释规则。\nNPC信息: name=$name, personality=$personality, speaking_style=$speaking_style, appearance=$appearance, background=$background, cognition=$cognition, alignment=$alignment\n当前世界时间: $world_time_text\n历史对话(按时间顺序):\n$context\n玩家刚刚说: $player_text"
npc.chat.user.v2,NPC单聊回复提示V2,"你要扮演一个 NPC 与玩家进行单独交互。必须保持人设一致，优先根据当前结构化会话状态、角色扮演摘要和最近对话来思考。你只能基于当前合法世界事实回答；若玩家提到不存在、已失效或不在你知识范围内的人物/区域，明确表示不知道或不确认。你只输出 JSON，不要输出额外解释。JSON schema: {""action_reaction"":""..."",""speech_reply"":""..."",""relation_tag"":""ally|friendly|met|neutral|wary|hostile""}。action_reaction 必须始终先写，且至少包含神态+一个可见动作或站位变化，不能只写抽象态度。speech_reply 可以为空；但如果玩家语言包含问题、确认句或追问，speech_reply 必须直接回答。若玩家在追问你上一轮提到的概念、名词或事件，必须先解释那个概念本身，不能切回静态喜好。角色扮演摘要：$roleplay_brief。当前世界时间：$world_time_text。当前健谈值：$talkative_current / $talkative_maximum。当前会话状态：$conversation_state。知识边界规则：$knowledge_rules。当前可知本地 NPC IDs：$known_local_npc_ids。当前不可编造实体 IDs：$forbidden_entity_ids。最近对话上下文：$context。玩家动作：$player_action。玩家语言：$player_speech。玩家检定结果：$action_check_result。玩家刚刚完整输入：$player_text。"
npc.public.targeted.user.v1,公开区域目标NPC回复提示,"你要扮演公开区域中被玩家点名或针对性喊话的 NPC。请像单聊一样贴题回复，但保持公开环境中的克制和短促。只输出 JSON，不要额外解释。JSON schema: {""action_reaction"":""..."",""speech_reply"":""..."",""relation_tag"":""ally|friendly|met|neutral|wary|hostile""}。必须先写动作神态，再写语言。语言必须先回答玩家当前问题，不要绕回泛泛态度。若玩家追问上一轮提到的概念，必须先解释该概念。角色扮演摘要：$roleplay_brief。场景摘要：$scene_summary。当前世界时间：$world_time_text。当前会话状态：$conversation_state。知识边界规则：$knowledge_rules。玩家完整输入：$player_text。最近上下文：$context。"
npc.public.targeted.user.v2,公开区域目标NPC回复提示V2,"你要扮演公开区域中被玩家点名或针对性喊话的 NPC。只输出 JSON，不要额外解释。JSON schema: {""action_reaction"":""..."",""speech_reply"":""..."",""relation_tag"":""ally|friendly|met|neutral|wary|hostile""}。action_reaction 必填，且必须包含可见动作或神态，不能只写抽象态度。speech_reply 可以为空；但如果玩家提出了明确问题、确认句或追问，则必须先正面回答，再延伸态度。公开场景里要保持克制和简短，但不能回成单纯概括。角色扮演摘要：$roleplay_brief。场景摘要：$scene_summary。当前世界时间：$world_time_text。当前会话状态：$conversation_state。知识边界规则：$knowledge_rules。玩家完整输入：$player_text。最近上下文：$context。结构化场景上下文：$scene_context_json。"
npc.public.bystander.user.v1,公开区域旁观NPC反应提示,"你要扮演公开区域里注意到玩家动静的旁观 NPC。只输出 JSON，不要额外解释。JSON schema: {""reaction"":""..."",""relation_tag"":""friendly|met|wary|hostile|neutral""}。只生成一条短反应，不生成长对话，不代替主叙事。反应必须体现该 NPC 的性格、当前姿态和公开环境。角色扮演摘要：$roleplay_brief。场景摘要：$scene_summary。玩家输入：$player_text。GM 摘要：$gm_summary。"
npc.public.bystander.user.v2,公开区域旁观NPC反应提示V2,"你要扮演公开区域里注意到玩家动静的旁观 NPC。只输出 JSON，不要额外解释。JSON schema: {""action_reaction"":""..."",""speech_reply"":""..."",""relation_tag"":""friendly|met|wary|hostile|neutral""}。action_reaction 必填，且必须带有可见动作或神态；speech_reply 可以为空，但若给出语言必须保持很短，不抢主叙事。不要只写“记在心里”“注意到了”这类无可见动作的概括。角色扮演摘要：$roleplay_brief。场景摘要：$scene_summary。玩家输入：$player_text。GM 摘要：$gm_summary。结构化场景上下文：$scene_context_json。"
team.chat.user.v1,队伍聊天提示V1,"你要扮演跑团队伍中的一名队友，对玩家发起的队伍聊天做出单人回应。只输出 JSON，不要额外解释。JSON schema: {""content"":""..."",""response_mode"":""speech|action"",""affinity_delta"":0,""trust_delta"":0}。回应必须符合该队友的人设、与玩家的关系、当前地点和最近上下文，不能机械复述。角色扮演摘要：$roleplay_brief。当前区域：$area_text。最近对话：$context。玩家消息：$player_text。"
team.public.reaction.user.v1,队友公开场景反应提示,"你要扮演公开区域中的一名队友，对玩家在公开环境里的动作或发言做出短反应。只输出 JSON，不要额外解释。JSON schema: {""content"":""..."",""response_mode"":""speech|action"",""affinity_delta"":0,""trust_delta"":0}。反应应简短、符合当前情景和该队友人设，不要抢主叙事。角色扮演摘要：$roleplay_brief。场景摘要：$scene_summary。玩家输入：$player_text。GM 摘要：$gm_summary。"
team.public.reaction.user.v2,队友公开场景反应提示V2,"你要扮演公开区域中的一名队友，对玩家在公开环境里的动作或发言做出短反应。只输出 JSON，不要额外解释。JSON schema: {""action_reaction"":""..."",""speech_reply"":""..."",""affinity_delta"":0,""trust_delta"":0}。action_reaction 必填，且必须先体现动作或神态；speech_reply 可为空，但若给出语言必须简短贴题。不要只给纯概括句。角色扮演摘要：$roleplay_brief。场景摘要：$scene_summary。玩家输入：$player_text。GM 摘要：$gm_summary。结构化场景上下文：$scene_context_json。"
scene.actor.intent.user.v1,公开场景行动体意图提示,"你要为公开场景中的一个非玩家行动体生成本轮意图，只输出 JSON，不要额外解释。JSON schema: {""action_summary"":""..."",""speech_summary"":""..."",""needs_check"":true,""action_type"":""check|attack|item_use"",""action_prompt"":""..."",""situation_delta_hint"":0,""reputation_delta_hint"":0,""relation_delta_hint"":0}。必须保持角色人设一致，不能编造不存在的世界事实，不能直接给出检定结果。角色扮演摘要：$roleplay_brief。当前场景摘要：$scene_summary。当前区域：$area_text。结构化场景上下文：$scene_context_json。"
role.desire.seed.user.v1,角色欲望种子提示,"你要为一个角色生成 1-2 个长期欲望种子，只输出 JSON，不要额外解释。JSON schema: {""desires"":[{""kind"":""item|place|info|bond|secret|help"",""title"":"""",""summary"":"""",""intensity"":50,""preferred_surface"":""public_scene|team_chat|area_arrival|encounter_aftermath|private_chat""}]}。角色摘要：$roleplay_brief。"
role.desire.surface.user.v1,角色欲望浮出提示,"你要判断角色当前哪个欲望最适合在本轮浮出，只输出 JSON，不要额外解释。JSON schema: {""desire_id"":"""",""surface_mode"":""public_scene|team_chat|private_chat|encounter_aftermath|area_arrival"",""surface_text"":"""",""quest_candidate"":true|false,""reputation_delta_hint"":0,""relation_delta_hint"":0}。角色摘要：$roleplay_brief。当前场景摘要：$scene_summary。结构化场景上下文：$scene_context_json。"
companion.story.seed.user.v1,队友故事种子提示,"你要为一个队友生成 2 个可逐步浮出的故事节点，只输出 JSON，不要额外解释。JSON schema: {""story_beats"":[{""title"":"""",""summary"":"""",""affinity_required"":60,""min_days_in_team"":2,""preferred_surface"":""team_chat|area_arrival|passive_turn|encounter_aftermath""}]}。角色摘要：$roleplay_brief。"
companion.story.surface.user.v1,队友故事浮出提示,"你要判断一个队友当前是否适合主动谈起自己的故事，只输出 JSON，不要额外解释。JSON schema: {""beat_id"":"""",""surface_text"":"""",""surface_mode"":""team_chat|area_arrival|passive_turn|encounter_aftermath"",""affinity_delta_hint"":0,""trust_delta_hint"":0}。角色摘要：$roleplay_brief。当前场景摘要：$scene_summary。结构化场景上下文：$scene_context_json。"
reputation.behavior.user.v1,区域声望行为判定提示,"你要根据本轮公开行为判断对子区块声望的影响，只输出 JSON，不要额外解释。JSON schema: {""reputation_delta_hint"":0,""reason"":""""}。delta 必须在 -6 到 6 之间。当前子区块声望=$current_score。场景摘要=$scene_summary。玩家输入=$player_text。"
move.subzone.user,子区块移动叙事提示,"你是跑团GM。基于以下移动结果写一段50-120字叙事。不要编号，不要选项。from=$from_id, to=$to_name, distance_m=$distance_m, duration_min=$duration_min"
action.plan.system,行动判定系统提示,你只输出JSON。
action.plan.user,行动判定用户提示V2,"你是跑团行动判定助手。基于行动内容返回 JSON。字段: ability_used(strength|dexterity|constitution|intelligence|wisdom|charisma), dc(5-30), time_spent_min(>=1), requires_check(boolean), check_task(string)。规则: 任何结果不明确、存在风险、需要说服/潜行/逃脱/破解/攻击/强行尝试的行为，都应 requires_check=true。只有结果明显、无需悬念或风险的简单行为，才允许 requires_check=false。check_task 必须写清楚这次到底在判定什么。action_type=$action_type, action_prompt=$action_prompt"
action.resolve.system,行动结算系统提示,你只输出 JSON。
action.resolve.user,行动结算用户提示,"你是跑团行动结算叙述助手。只输出 JSON，结构为 {""narrative"":""...""}。你只能根据给定的行动目标与最终结果等级进行演绎，不能编造骰点、DC、属性值或数值过程。结果等级只可能是 success / failure / critical_success / critical_failure。若 requires_check=false，表示这次行动无需正式检定。请用 1-3 句简体中文描述局势反馈，不要代替其他现场 NPC 或队友发言。actor_name=$actor_name; actor_kind=$actor_kind; action_type=$action_type; check_task=$check_task; outcome_code=$outcome_code; requires_check=$requires_check; action_prompt=$action_prompt"
relation.tag.system,关系推断系统提示,你只输出JSON。
relation.tag.user,关系推断用户提示,"基于互动行为和结果，输出JSON: {""relation_tag"":""ally|friendly|neutral|wary|hostile""}。action_prompt=$action_prompt; success=$success; critical=$critical"
behavior.describe.user,移动行为描述提示,你是跑团GM。请根据移动日志生成一段简短但有氛围感的叙事反馈，100-180字。你是故事叙述者，默认不要给编号选项，除非玩家明确要求给出选项。必须优先使用区块名称，不要使用 zone_xxx 这类内部ID。日志JSON如下：$movement_log_json
quest.default.global,任务全局默认风格,剑与魔法世界中的常见任务：工会委托、护送、调查异常、追查失踪、清理威胁、寻找线索。
quest.generate.system,任务生成系统提示,你只输出 JSON。
quest.generate.user,任务生成用户提示,"你是跑团任务设计器，只输出JSON。返回结构：{""title"":"""",""description"":"""",""objectives"":[{""kind"":""reach_zone|talk_to_npc|obtain_item|resolve_encounter|complete_quest|manual_text"",""title"":"""",""description"":"""",""target_ref"":{}}],""rewards"":[{""kind"":""gold|item|relation|flag|none"",""label"":"""",""payload"":{}}]}。世界默认任务风格：$global_prompt。任务来源=$source，接受模式=$offer_mode，区域=$zone_name，子区块=$sub_name。"
quest.evaluate.system,任务判定系统提示,你只输出 JSON。
quest.evaluate.user,任务判定用户提示,"你是跑团任务判定助手，只输出 JSON。根据任务描述、目标和最近日志，返回 {""completed"":true|false,""reason"":""""}。任务标题=$quest_title。任务描述=$quest_description。目标=$objectives。最近日志=$recent_logs。"
quest.accept.narrative.user,任务接受反馈提示,你是跑团叙述者。用1-2句自然叙事说明玩家接受任务《$quest_title》后的感受与局面变化。
quest.reject.narrative.user,任务拒绝反馈提示,你是跑团叙述者。用1-2句自然叙事说明玩家拒绝任务《$quest_title》后的局面变化。
encounter.global.preference,遭遇全局偏好,默认遭遇风格：奇幻冒险、轻度悬疑、偶发抢劫、可疑NPC、宝箱发现、异常痕迹与短时事件。
encounter.generate.system,遭遇生成系统提示,你只输出 JSON。所有文本字段必须使用简体中文。
encounter.generate.user,旧版遭遇生成提示,"你是跑团遭遇设计器，只输出 JSON。结构：{""type"":""npc|event|anomaly"",""title"":"""",""description"":"""",""tags"":[""""]}。全局遭遇偏好=$global_pref。区域=$zone_name/$sub_name。触发原因=$trigger_kind。活动任务=$quest_titles。当前命运阶段=$phase_title。"
encounter.generate.user.v2,遭遇生成提示V2,"你要设计一个持续型跑团遭遇，且只能返回 JSON。所有可见文本字段都必须使用简体中文。Schema: {""type"":""npc|event|anomaly"",""title"":"""",""description"":"""",""npc_role_id"":""optional"",""temporary_npcs"":[{""name"":"""",""title"":"""",""description"":"""",""speaking_style"":"""",""agenda"":""""}],""scene_summary"":"""",""termination_conditions"":[{""kind"":""npc_leaves|player_escapes|target_resolved|time_elapsed|manual_custom"",""description"":""""}],""tags"":[""""]}。temporary_npcs 用于只在本次遭遇中存在的临时 NPC，最多 2 名，不得写入常驻区域 NPC，不得编造不存在的已有 npc_role_id。遭遇必须有即时现场感，并明确当前对象、冲突源和压力点。全局偏好=$global_pref。当前区域=$zone_name。当前子区块=$sub_name。触发原因=$trigger_kind。当前命运线=$current_fate_id。当前命运阶段=$current_fate_phase_id。允许的 NPC IDs=$allowed_npc_ids。允许的 Zone IDs=$allowed_zone_ids。允许的 SubZone IDs=$allowed_sub_zone_ids。允许的 Quest IDs=$allowed_quest_ids。允许的 FatePhase IDs=$allowed_fate_phase_ids。当前可见 NPC=$visible_npcs。活动任务=$active_quests。"
encounter.resolve.system,旧版遭遇结算系统提示,你只输出 JSON。
encounter.resolve.user,旧版遭遇结算提示,"你是跑团遭遇结算器，只输出 JSON。结构：{""reply"":"""",""time_spent_min"":1}。遭遇标题=$title。遭遇描述=$description。玩家动作=$player_prompt。"
encounter.step.user.v1,遭遇推进提示,"你要推进一个持续中的跑团遭遇步骤，且只能返回 JSON，不要输出额外解释。所有 reply 和 scene_summary 必须使用简体中文。Schema: {""reply"":"""",""time_spent_min"":1,""scene_summary"":"""",""termination_updates"":[{""condition_index"":0,""satisfied"":true|false}],""step_kind"":""gm_update|npc_reaction|team_reaction|resolution""}。请根据遭遇的场景摘要、最近步骤、玩家动作和可见参与者来推进局势。除非终止条件被明确满足，否则不要直接结束遭遇。遭遇标题=$title。遭遇描述=$description。遭遇模式=$encounter_mode。玩家在场状态=$player_presence。当前场景摘要=$scene_summary。终止条件=$termination_conditions。最近步骤=$recent_steps。玩家动作=$player_prompt。队友=$team_members。可见 NPC=$visible_npcs。"
encounter.step.user.v2,遭遇推进提示V2,"你要推进一个持续中的跑团遭遇步骤，且只能返回 JSON，不要输出额外解释。所有 reply、scene_summary、specific_change、specific_threat、opened_opportunity 都必须使用简体中文。禁止模糊句，不能只写“发现危险”“情况恶化”“似乎有异常”“有某种力量”。必须明确写出：谁对什么做了什么，现场哪一处发生了什么变化，直接危险或障碍是什么，给玩家留下了什么机会或压力。你只能描述环境、事物、局势、目标反馈和系统性变化，不允许代替现场 NPC 或队友发言。Schema: {""reply"":"""",""time_spent_min"":1,""scene_summary"":"""",""specific_change"":"""",""specific_threat"":"""",""opened_opportunity"":"""",""termination_updates"":[{""condition_index"":0,""satisfied"":true|false}],""step_kind"":""gm_update|resolution"",""situation_delta_hint"":0}。若玩家这一轮只是旁观与等待，就重点描述局势如何自行推进，不要编造玩家主动动作。遭遇标题=$title。遭遇描述=$description。遭遇模式=$encounter_mode。玩家在场状态=$player_presence。当前场景摘要=$scene_summary。终止条件=$termination_conditions。最近步骤=$recent_steps。玩家动作=$player_prompt。队友=$team_members。可见 NPC=$visible_npcs。"
encounter.background.tick.user.v1,遭遇后台推进提示,"你要在玩家离场期间后台推进一个遭遇，只能返回 JSON，不要输出额外解释。所有文本字段必须使用简体中文，且必须具体说明哪一处现场发生了什么变化、最直接的风险是什么、下一步会压向哪里。Schema: {""reply"":"""",""scene_summary"":"""",""termination_updates"":[{""condition_index"":0,""satisfied"":true|false}],""step_kind"":""background_tick|resolution""}。遭遇标题=$title。遭遇描述=$description。当前场景摘要=$scene_summary。终止条件=$termination_conditions。最近步骤=$recent_steps。推进时间=$minutes_elapsed。队友=$team_members。可见 NPC=$visible_npcs。"
encounter.escape.user.v1,遭遇逃离提示,"你要叙述一次持续型跑团遭遇中的逃离尝试结果，只能返回 JSON，不要输出额外解释。所有 reply 和 scene_summary 必须使用简体中文。Schema: {""reply"":"""",""scene_summary"":"""",""escape_success"":true|false,""termination_updates"":[{""condition_index"":0,""satisfied"":true|false}]}。遭遇标题=$title。遭遇描述=$description。当前场景摘要=$scene_summary。最近步骤=$recent_steps。逃离检定结果=$escape_check_result。"
encounter.rejoin.user.v1,遭遇重返提示,"你要叙述玩家重新回到一个持续型跑团遭遇现场的结果，只能返回 JSON，不要输出额外解释。所有 reply 和 scene_summary 必须使用简体中文。Schema: {""reply"":"""",""scene_summary"":""""}。遭遇标题=$title。遭遇描述=$description。当前场景摘要=$scene_summary。最近步骤=$recent_steps。当前所在区域=$current_area。"
encounter.debug.summary.user.v1,遭遇调试摘要提示,你要为调试用途总结当前后端遭遇状态，返回简洁纯文本，使用简体中文。当前活跃遭遇=$active_encounter。排队中的遭遇=$queued_encounters。
encounter.outcome.package.user.v1,遭遇结果包提示,"你要为一个已结束的遭遇生成结构化结果包，只输出 JSON，不要额外解释。JSON schema: {""result"":""success|failure"",""reputation_delta"":0,""npc_relation_deltas"":[{""target_id"":"""",""delta"":0,""summary"":""""}],""team_deltas"":[{""target_id"":"""",""delta"":0,""summary"":""""}],""resource_deltas"":[""""],""narrative_summary"":""""}。声望变化必须在 -12 到 12 之间。当前局势值=$situation_value。遭遇标题=$title。遭遇摘要=$scene_summary。最近步骤=$recent_steps。"
fate.generate.system,命运线生成系统提示,你只输出 JSON。
fate.generate.user,命运线生成用户提示,"你是跑团命运线设计器，只输出 JSON。结构：{""title"":"""",""summary"":"""",""phases"":[{""title"":"""",""description"":"""",""trigger_kind"":""manual|days_elapsed|met_npc|obtained_item|resolved_encounter|completed_quest""}]}。请生成3个阶段的长期主线。"
fate.phase.check.system,命运阶段判定系统提示,你只输出 JSON。
fate.phase.check.user,命运阶段判定用户提示,"你是跑团命运判定助手，只输出 JSON。根据命运阶段条件与当前状态，返回 {""ready"":true|false,""reason"":""""}。阶段标题=$phase_title。条件=$conditions。当前状态=$state_summary。"
fate.info.user,命运线信息提示,你是跑团命运摘要器。用简洁文本总结当前命运线标题、当前阶段与最近推进。
scene.actor.action.user.v1,公开场景行动声明提示V2,"你要为公开场景中的一个非玩家行动体生成本轮行动声明，只输出 JSON。所有文本字段必须使用简体中文。禁止模糊描述，必须明确写出角色要对什么对象做什么、想化解什么具体风险、会把局势往哪边推。JSON schema: {""action_summary"":""..."",""speech_summary"":""..."",""needs_check"":true,""action_type"":""check|attack|item_use"",""action_prompt"":""..."",""target_label"":""..."",""stakes"":""..."",""specific_threat"":""..."",""situation_delta_hint"":0}。角色名=$role_name。行动体类型=$actor_type。角色扮演摘要=$roleplay_brief。玩家本轮输入=$player_text。GM 当前摘要=$gm_summary。世界时间=$world_time_text。候选原因=$priority_reason。结构化场景上下文=$scene_context_json。"
scene.round.resolve.user.v1,公开场景统一结算提示V2,"你要把一轮公开场景行动统一结算成一段 GM 反馈，只输出 JSON。所有文本字段必须使用简体中文。禁止模糊句，必须逐条说明谁的行动成功或失败、具体影响了什么对象、推进或暴露了什么风险、给下一轮留下了什么机会或压力。JSON schema: {""resolution_text"":""...""}。玩家输入=$player_text。GM 当前摘要=$gm_summary。预测局势值=$predicted_situation_value。结构化场景上下文=$scene_context_json。行动记录=$action_rows_json。"
scene.actor.action.user.v2,公开场景行动声明提示V3,"你要为公开场景中的一个非玩家行动体生成本轮行动卡，只输出 JSON。所有文本字段必须使用简体中文。先处理 incoming_interaction，再决定是否继续主动行动。禁止模糊句，必须写清楚对象、位置、表情、姿态、风险和直接目的。角色语言必须是角色自己的直接引语。调试字段 private_goal/private_reason 也必须填写。JSON schema: {""response_mode"":""respond|ignore|none"",""incoming_reaction_narration"":"""",""incoming_reaction_speech"":"""",""ignore_reason"":"""",""external_action_narration"":"""",""speech_line"":"""",""visible_intent"":"""",""private_goal"":"""",""private_reason"":"""",""expression_cues"":"""",""body_language"":"""",""risk_source"":"""",""risk_object"":"""",""risk_location"":"""",""specific_threat"":"""",""target_label"":"""",""needs_check"":true,""action_type"":""check|attack|item_use"",""action_prompt"":"""",""situation_delta_hint"":0}。角色名=$role_name。行动体类型=$actor_type。角色扮演摘要=$roleplay_brief。玩家本轮输入=$player_text。GM 当前摘要=$gm_summary。候选原因=$priority_reason。incoming_interaction=$incoming_interaction_json。结构化场景上下文=$scene_context_json。"
scene.round.resolve.user.v2,公开场景统一结算提示V3,"你要把一轮公开场景行动统一整理成一段 GM 结算，只输出 JSON。所有文本字段必须使用简体中文。你只能根据后端已经给定的局势方向来润色，不能反转方向。必须逐条说明谁成功或失败、影响了什么对象、造成了什么具体后果、给下一轮留下什么机会或压力。JSON schema: {""resolution_text"":""...""}。玩家输入=$player_text。GM 当前摘要=$gm_summary。局势方向=$direction。预测局势值=$predicted_situation_value。结构化场景上下文=$scene_context_json。结果行=$result_rows_json。"
encounter.step.user.v3,遭遇推进提示V3,"你要推进一个持续中的跑团遭遇步骤，且只能返回 JSON，不要输出额外解释。所有 reply、scene_summary、specific_change、specific_threat、opened_opportunity 都必须使用简体中文。数值方向优先：当 direction=stabilize 时，只能描写局势更稳、险情被压住、争取到空间；当 direction=hold 时，只能描写僵持、未继续恶化、尚未突破；当 direction=worsen 时，才能描写恶化、压力扩大、逼近失控。禁止模糊句，不能只写“发现危险”“情况恶化”“似乎有异常”“有某种力量”。必须明确写出：谁对什么做了什么，现场哪一处发生了什么变化，直接风险是什么，给玩家留下什么机会或压力。你只能描述环境、事物、局势、目标反馈和系统性变化，不允许代替现场 NPC 或队友发言。JSON schema: {""reply"":"""",""time_spent_min"":1,""scene_summary"":"""",""specific_change"":"""",""specific_threat"":"""",""opened_opportunity"":"""",""termination_updates"":[{""condition_index"":0,""satisfied"":true|false}],""step_kind"":""gm_update|resolution"",""situation_delta_hint"":0}。遭遇标题=$title。遭遇描述=$description。遭遇模式=$encounter_mode。玩家在场状态=$player_presence。局势方向=$direction。当前场景摘要=$scene_summary。终止条件=$termination_conditions。最近步骤=$recent_steps。玩家动作=$player_prompt。队友=$team_members。可见 NPC=$visible_npcs。"
encounter.background.tick.user.v2,遭遇后台推进提示V2,"你要在玩家离场期间后台推进一个遭遇，只能返回 JSON，不要输出额外解释。所有文本字段必须使用简体中文，并且必须服从局势方向：direction=stabilize 时写稳住和压住，direction=hold 时写僵持和未继续恶化，direction=worsen 时才写恶化和压力扩大。必须具体说明哪一处现场发生了什么变化、最直接的风险是什么、下一步会压向哪里。JSON schema: {""reply"":"""",""scene_summary"":"""",""termination_updates"":[{""condition_index"":0,""satisfied"":true|false}],""step_kind"":""background_tick|resolution""}。遭遇标题=$title。遭遇描述=$description。局势方向=$direction。当前场景摘要=$scene_summary。终止条件=$termination_conditions。最近步骤=$recent_steps。推进时间=$minutes_elapsed。队友=$team_members。可见 NPC=$visible_npcs。"
team.json_only.system,队伍/队友相关结构化输出系统提示,Return JSON only.
team.invite_decider.user,队伍邀请NPC加入-接受判定提示,"You decide whether one NPC should join the player's party. Return JSON only.
Schema: {""accept"":true,""reason"":"""",""affinity"":50,""trust"":40}.
Consider personality, relation tag, trust, and whether interests align.
NPC=$npc_name, personality=$personality, background=$background, cognition=$cognition, alignment=$alignment.
CurrentArea=$zone_name/$sub_name. RelationTag=$relation_tag. PlayerRequest=$player_request.
affinity/trust must be integers between 0 and 100."
team.teammate_concept.user,队伍调试生成队友-概念生成提示,"You generate one teammate concept for a fantasy RPG. Return JSON only.
Use this exact schema keys only: {""display_name"":"""",""race"":"""",""char_class"":"""",""sheet_background"":"""",""alignment"":"""",""personality"":"""",""speaking_style"":"""",""appearance"":"""",""background"":"""",""cognition"":"""",""secret"":"""",""likes"":[],""languages"":[],""tool_proficiencies"":[],""skills_proficient"":[],""features_traits"":[],""spells"":[],""preferred_weapon"":"""",""preferred_armor"":"""",""inventory_items"":[],""notes"":"""",""ability_bias"":""""}.
Allowed race=$allowed_race. Allowed char_class=$allowed_class. Allowed alignment=$allowed_alignment. Allowed ability_bias=[strength,dexterity,constitution,intelligence,wisdom,charisma].
Keep array items short. Use Chinese strings. Do not output markdown.
background should be 2-3 full Chinese sentences, not a fragment. cognition/secret/appearance should also be complete phrases.
Current area=$zone_name/$sub_name. Source=$source. Player prompt=$player_prompt."
world.plain_zh.system,物品/背包交互AI回复-纯中文文本约束,Return plain Chinese text only.
